,A_WIKI_W_wikipedia_word2vec_vec_15_cbow_mc_100.txt,A_WIKI_W_wikipedia_word2vec_vec_15_sg_mc_100.txt,A_WIKI_W_wikipedia_word2vec_vec_5_cbow_mc_100.txt,A_WIKI_W_wikipedia_word2vec_vec_5_sg_mc_100.txt,B_WIKI_G_wikipedia.txt_vectors_mc_100.ws_15.txt,B_WIKI_G_wikipedia.txt_vectors_mc_100.ws_5.txt,C_wikipedia_output_res_150_it_50_mc_100_cbow.txt,C_wikipedia_output_res_150_it_50_mc_100_sg.txt,D_WIKI_YL_dim150vecs_wikipedia_100.txt,EA_WIKI_OL_Wikipedia_WN.txt,EA_WIKI_OL_Wikipedia_WN_Unique.txt,E_WIKI_OL_Wikipedia_DP_Unique.txt,E_WIKI_OL_Wikipedia_DP_Unique_Useful.txt,E_WIKI_OL_Wikipedia_WN_DP_Unique.txt,E_WIKI_OL_Wikipedia_WN_DP_Unique_Useful.txt,Eval_Dataset,FA_WIKI_OL_wikipediaUD_WN.txt,FA_WIKI_OL_wikipediaUD_WN_Unique.txt,F_WIKI_OL_wikipediaUD_DP_Unique.txt,F_WIKI_OL_wikipediaUD_DP_Unique_Useful.txt,F_WIKI_OL_wikipediaUD_WN_DP_Unique.txt,F_WIKI_OL_wikipediaUD_WN_DP_Unique_Useful.txt,G_WIKI_OL_Wikipedia_WN_DP_Unique_Useful_L2.txt,G_WIKI_OL_wikipediaUD_WN_DP_Unique_Useful_L2.txt
0,STS,STS,STS,STS,STS,STS,STS,STS,STS,STS,STS,STS,STS,STS,STS,STS,STS,STS,STS,STS,STS,STS,STS,STS
1,0.02688,0.01951,0.02707,0.02459,0.02125,0.0192,0.02294,0.01683,0.04158,0.02788,0.01154,0.04112,0.03848,0.0387,0.02603,2012_MSRpar_FYB,0.02315,0.01516,0.04181,0.02892,0.03848,0.0324,0.02856,0.02969
2,0.3266,0.41352,0.27295,0.39703,0.26535,0.15879,-0.05494,0.11235,0.10311,-0.0795,-0.03509,0.21231,0.11594,0.22091,0.15111,2012_MSRvid_FYB,0.03254,-0.01118,0.21078,0.14851,0.20722,0.13304,0.25484,0.30349
3,0.42968,0.46901,0.43354,0.4705,0.40631,0.41147,0.5123,0.41891,0.43827,0.35134,0.33978,0.44031,0.43094,0.42315,0.4457,2012_SMTeuroparl_FYC,0.35339,0.35225,0.3879,0.40316,0.437,0.40946,0.45827,0.44497
4,0.55141,0.46591,0.53277,0.49507,0.52765,0.51976,0.27345,0.31647,0.40825,0.4815,0.46673,0.4653,0.50975,0.46677,0.50747,2012_surprise.OnWN_FYC,0.45203,0.43021,0.48676,0.50002,0.47668,0.51153,0.50749,0.53602
5,0.41003,0.3807,0.36553,0.38317,0.40572,0.39985,0.10218,0.06871,0.35,0.31541,0.30892,0.33775,0.35381,0.3464,0.33586,2012_surprise.SMTnews_FYC,0.29128,0.23937,0.40649,0.35894,0.34759,0.34905,0.39166,0.34678
6,0.19002,0.21825,0.15972,0.20302,0.16069,0.16805,0.03476,0.15632,0.21133,0.09084,0.07655,0.20496,0.15883,0.21969,0.17481,2013_FNWN_FYC,0.15095,0.09367,0.18463,0.13026,0.2368,0.15213,0.21888,0.21602
7,0.22144,0.19744,0.25994,0.23435,0.08176,0.09731,0.26649,0.12709,0.36393,0.18013,0.18226,0.31435,0.22798,0.336,0.3111,2013_OnWN_FYC,0.14454,0.07751,0.37134,0.38931,0.35863,0.32423,0.46525,0.51388
8,0.59873,0.56715,0.57711,0.56352,0.56981,0.55214,0.35956,0.51182,0.52212,0.51144,0.51786,0.57021,0.60398,0.56594,0.59486,2013_headlines_FYB,0.52144,0.56137,0.56825,0.57216,0.56809,0.57541,0.61509,0.60405
9,0.41866,0.37113,0.43092,0.40401,0.29891,0.31532,0.28865,0.1535,0.43734,0.33271,0.3397,0.36403,0.34186,0.39012,0.39659,2014_OnWN_FYC,0.26997,0.17942,0.39106,0.42381,0.41276,0.43197,0.51392,0.53838
10,0.08477,0.01103,0.07176,0.01945,0.07551,0.08666,-0.0099,-0.01203,0.02922,0.09288,0.091,0.06418,0.0878,0.07617,0.07931,2014_deft-forum_FYB,0.13285,0.09995,0.08658,0.10151,0.06871,0.08114,0.07028,0.07273
11,0.56997,0.5667,0.54172,0.56777,0.49715,0.49013,0.36035,0.36574,0.53756,0.38411,0.38723,0.51915,0.5034,0.536,0.52299,2014_deft-news_FYB,0.39817,0.35389,0.52765,0.55752,0.51713,0.54367,0.57024,0.58438
12,0.55642,0.50997,0.53333,0.51163,0.52878,0.51788,0.31607,0.43748,0.475,0.49108,0.48464,0.51313,0.52592,0.52451,0.53886,2014_headlines_FYB,0.46893,0.50994,0.52288,0.53926,0.51732,0.53126,0.56464,0.55602
13,0.43631,0.49856,0.38568,0.48561,0.40246,0.3356,0.12633,0.14916,0.25813,0.22484,0.24725,0.27247,0.29064,0.29483,0.28032,2014_images_FYB,0.22699,0.17842,0.28135,0.31408,0.25367,0.34292,0.41483,0.42892
14,0.6547,0.56938,0.63388,0.58752,0.61481,0.62064,0.34144,0.4633,0.55528,0.6143,0.60786,0.60727,0.64778,0.61167,0.62738,2014_tweet-news_FYC,0.62418,0.61124,0.60877,0.65092,0.60918,0.65527,0.64442,0.65618
15,0.13845,0.14694,0.14178,0.13266,0.10383,0.08951,0.07153,0.07763,0.15333,0.12506,0.12465,0.09405,0.11,0.0948,0.08197,2015_answers-forums_FYB,0.02089,0.08813,0.0854,0.12257,0.12505,0.11722,0.13266,0.13942
16,0.50669,0.40434,0.48573,0.41478,0.43752,0.45191,0.18587,0.2515,0.30884,0.38149,0.39489,0.41276,0.44823,0.40714,0.45109,2015_belief_FYC,0.41475,0.38677,0.44063,0.45003,0.42514,0.4782,0.42481,0.42636
17,0.64558,0.61089,0.62093,0.61254,0.62936,0.61862,0.41543,0.58434,0.55118,0.56767,0.55754,0.588,0.60894,0.60759,0.62512,2015_headlines_FYB,0.54349,0.58026,0.5877,0.60246,0.60121,0.61944,0.6407,0.63383
18,0.57223,0.54417,0.52459,0.53972,0.50826,0.46364,0.19377,0.30406,0.41563,0.30043,0.33,0.40289,0.41631,0.45604,0.43342,2015_images_FYB,0.31882,0.26804,0.41857,0.41862,0.41657,0.45716,0.54018,0.54243
19,0.17292,0.1362,0.19582,0.15586,0.1372,0.16459,0.10163,0.19331,0.20418,0.27491,0.22827,0.26568,0.23329,0.2559,0.22444,2016_answer-answer_FYB,0.18366,0.18958,0.27806,0.26314,0.27717,0.21996,0.23569,0.29011
20,0.61153,0.58284,0.60101,0.58702,0.56513,0.56866,0.2076,0.5488,0.56626,0.57443,0.59236,0.57992,0.62993,0.59349,0.62498,2016_headlines_FYB,0.56207,0.585,0.59058,0.63859,0.59895,0.61451,0.65172,0.62019
21,0.53543,0.42137,0.49255,0.43516,0.41154,0.43372,0.21175,0.10139,0.44121,0.45291,0.44572,0.37884,0.4158,0.40819,0.43045,2016_plagiarism_FYC,0.47001,0.43237,0.41278,0.50104,0.37649,0.45942,0.4764,0.48394
22,0.28162,0.15306,0.25966,0.17625,0.21431,0.23521,0.13439,0.19961,0.17767,0.30569,0.28585,0.27311,0.27706,0.27424,0.28819,2016_postediting_FYC,0.3026,0.31672,0.26309,0.28408,0.27545,0.29012,0.26225,0.26864
23,-0.04292,-0.00842,-0.02592,-0.01062,-0.07728,-0.10042,-0.09189,-0.14532,-0.03156,-0.13676,-0.10589,0.00153,-0.04985,-0.01183,-0.05205,2016_question-question_FYC,-0.05901,-0.09928,0.04881,0.05697,0.00784,-0.0211,0.06457,0.09394
24,0.52853,0.47896,0.48773,0.48769,0.50553,0.50803,0.25305,0.22532,0.41623,0.46304,0.47783,0.42718,0.45988,0.42631,0.45553,2017_track5.en-en_FYB,0.4465,0.42376,0.4249,0.47164,0.41862,0.47205,0.47789,0.50464
25,0.05563,0.03852,0.05268,0.04185,0.04226,0.0348,0.03562,0.01751,0.05178,0.04265,0.02361,0.0667,0.05072,0.05482,0.04915,2018_MSRpar_FYB,0.03241,0.03731,0.05803,0.05521,0.06124,0.05129,0.0614,0.05755
26,0.54856,0.59721,0.51444,0.58631,0.54428,0.51005,0.33791,0.48928,0.57615,0.47009,0.48709,0.58588,0.58594,0.60391,0.58986,SICK__FYC,0.49498,0.48701,0.59382,0.59994,0.58646,0.60106,0.63916,0.65366
27,WS,WS,WS,WS,WS,WS,WS,WS,WS,WS,WS,WS,WS,WS,WS,WS,WS,WS,WS,WS,WS,WS,WS,WS
28,0.48974011071986706,0.5475376517196279,0.5013680183766237,0.531463779370582,0.28009577561422566,0.3084815501880727,0.07219416533496,0.44523841897704,0.77688806587416,0.73105832269224,0.72465201450552,0.48614023278456,0.54527538527736,0.65837136441984,0.67857587485488,EN-MC-30.txt,0.6421091974843199,0.7465813002216,0.41542444626192,0.49574969506464,0.61820874001848,0.66256010438808,0.76678581065664,0.63767406104736
29,0.5507723843983023,0.5712166556529455,0.4880326345693678,0.5429551526576398,0.42001015686991616,0.30578799760921027,0.07169388946388587,0.5550804926706355,0.5615305400800873,0.4246397346962218,0.4597095541774145,0.48484347256258387,0.5159882137520752,0.5727641141167538,0.5883136378944572,EN-MEN-TR-3k.txt,0.4339613536367263,0.46970193497651,0.5404081578767227,0.5691230609648209,0.6222029323788162,0.6235872770068568,0.6587858685872294,0.6623588804508183
30,0.5374625200520713,0.5304076371362584,0.5267536483189345,0.5394451835974227,0.46281599208836766,0.39832528683306606,-0.022246173870911767,0.5145479792428783,0.5664987665411542,0.35984953791022317,0.3157328364989684,0.5183020849356121,0.5238262340423299,0.5300951268853146,0.5467173460344831,EN-MTurk-287.txt,0.4042991866618914,0.38186178418476263,0.5547211800541461,0.5414428419438267,0.5667484115572156,0.577967767688267,0.5904602348141329,0.6007873654208349
31,0.4701626327288993,0.47664778527288354,0.4360209827301103,0.4627560454855414,0.34547006241333245,0.28794812328460817,0.11814795703746854,0.44037121119249845,0.5797216360721662,0.5249181956555666,0.5098923653386921,0.39120695748514484,0.4220208130014142,0.5400728476427263,0.5492195266154315,EN-MTurk-771.txt,0.5115541387021038,0.5042513508016859,0.4436650268204175,0.46049242295957604,0.5499631837453984,0.5477199193119611,0.5993161402531066,0.6162919431457563
32,0.4995039255458248,0.4951745307415273,0.44949941555618855,0.4811039976275604,0.335095157852627,0.3137728884414618,0.12413115780365286,0.27183439183051916,0.6693650927487825,0.787926868371452,0.6659111533057799,0.422232296964099,0.5360128956569177,0.6941674241630934,0.6809962747349517,EN-RG-65.txt,0.61116148053947,0.7081444565390372,0.3978543377930833,0.553666768982209,0.6479047061908251,0.6392414645019519,0.7587136115136234,0.7199808623348816
33,0.4058508690917356,0.37824091263545173,0.37265928562539824,0.3737326121865524,0.3339674379827297,0.2709690509508271,0.20309680408911096,0.19575616313162847,0.47945842698032626,0.26044481655701346,0.24747419317225527,0.25946366433282425,0.32377473176827815,0.37316218280994096,0.3624118493468979,EN-RW-STANFORD.txt,0.19393898426434422,0.2508398389696959,0.3002166599940639,0.2935178282069712,0.36559107101254573,0.38851323008292193,0.44646505652881446,0.42008936274311875
34,0.20347317648420246,0.1948681778500276,0.1841069650161016,0.1946561385497372,0.1536826818686605,0.12411669219271146,0.13965148616713763,0.18078563745295015,0.3936509911229554,0.5023364406089327,0.47516316957597227,0.19116921896819697,0.21832052676762562,0.29267469381872896,0.3322751916005025,EN-SIMLEX-999.txt,0.4956051344061973,0.4941049047580669,0.22457199121026927,0.21849789491958113,0.3643162123508495,0.3734274002047396,0.4302746061998621,0.3955036504205483
35,0.11647387014733943,0.10386772914267536,0.10554758805147679,0.10478192923261237,0.0819566547814134,0.07658791726662473,0.05903077679283479,0.07459001626037501,0.2526314679484327,0.523703489461659,0.5283546729615028,0.11284178812680304,0.12526395922645098,0.28949407574327884,0.31838426663131836,EN-SimVerb-3500.txt,0.5269054003161514,0.5183421832607081,0.11604897560906362,0.11103716470221243,0.3028135123490845,0.3072410817206812,0.40634375613283374,0.4060675075277095
36,0.24769210064293223,0.25355845545383676,0.24169100268073165,0.23098596097403135,0.1028029911634615,0.12135330202248903,-0.016511063763293143,0.17888460544228527,0.32223925187042923,0.2707794346261972,0.378537756010457,0.2935892379396285,0.3376502484134396,0.35357809555172,0.2992464392022525,EN-VERB-143.txt,0.361789383413538,0.3576606119268095,0.29201455305209395,0.2938064358551505,0.32392454680753513,0.30907665597143363,0.39868487376693335,0.3956642138677292
37,0.5658722762896734,0.538307016405711,0.507386362082304,0.5291579903750778,0.4340596293645834,0.37053366272668364,0.19084592044173707,0.5527778009915882,0.5812809766960941,0.4306080613123485,0.4774351289903951,0.3803145507115405,0.4480951952768017,0.49066680892193215,0.487936337873648,EN-WS-353-ALL.txt,0.3949207725238755,0.43705057913197903,0.5275809973916264,0.4939015025721828,0.5004209902588912,0.5536751817831526,0.6195751026326692,0.5981668437488438
38,0.5551466552569299,0.5287053614919307,0.48105524973488495,0.5231802669074576,0.41388472246714325,0.35012082632195535,0.0945657542205532,0.4847638457283123,0.43571120329512747,0.24325444104987887,0.3098174726792677,0.27164722395127117,0.3555807520647234,0.38982719131020993,0.36771325347275574,EN-WS-353-REL.txt,0.25114555374638203,0.27475102661693934,0.4534768928221498,0.39735235674871694,0.41394371552569426,0.45742694852193416,0.5087165564274773,0.5214039778578808
39,0.610746326088708,0.603324825987267,0.5858153943336983,0.5852100860711449,0.5028986824272598,0.43278569689798835,0.24767345948016217,0.5495908122083073,0.7284107530200343,0.664378518795708,0.65645817590806,0.47447353839934203,0.5647709152294699,0.6067223535582522,0.6208546866181605,EN-WS-353-SIM.txt,0.5245677305878016,0.57112994787161,0.6268959893002586,0.6143057549068791,0.6404423692012989,0.6803307795104606,0.7222489670294711,0.7058592734394981
40,0.13633579918694444,0.3034104617322405,0.12804152475724173,0.23275299652861514,0.17043258179610404,0.08145841566004591,-0.12489320810935044,0.11800198783794709,0.2732832957660743,0.6293737791366965,0.688262715571046,0.18185184954208425,0.10050362676746158,0.5464684634854122,0.599247588784435,EN-YP-130.txt,0.7021066149287755,0.6575950995230927,0.03104700923617546,0.21293047487727823,0.5163778412445467,0.4865757159072249,0.6451067404107818,0.6406883905729451
41,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC
42,0.3706896551724138,0.363013698630137,0.37344398340248963,0.37445887445887444,0.34765625,0.3216374269005848,0.3264094955489614,0.3798219584569733,0.8,0.5058823529411764,0.47352941176470587,0.5470588235294118,0.5735294117647058,0.5794117647058824,0.6176470588235294,ap,0.47352941176470587,0.5088235294117647,0.5764705882352941,0.6147058823529412,0.5882352941176471,0.5705882352941176,0.5941176470588235,0.6029411764705882
43,0.4835381913959614,0.4787807737397421,0.4804602692140686,0.4937825005652272,0.39636059401798784,0.4091939806225521,0.2995223377353189,0.5119415566170272,0.812929061784897,0.4583101723179544,0.47804335742078935,0.6834352418010006,0.6917732073374097,0.6245136186770428,0.6381322957198443,battig,0.4874930516953863,0.4708171206225681,0.7009449694274597,0.7117843246247916,0.6517509727626459,0.7087270705947749,0.7148415786548082,0.7062256809338522
44,0.5135135135135135,0.6,0.4935064935064935,0.527027027027027,0.5256410256410257,0.5189873417721519,0.6888888888888889,0.6888888888888889,0.7777777777777778,0.8444444444444444,0.8222222222222222,0.8222222222222222,0.7777777777777778,0.8222222222222222,0.8222222222222222,essli-2008,0.7777777777777778,0.8666666666666667,0.6888888888888889,0.6666666666666666,0.8444444444444444,0.8444444444444444,0.8888888888888888,0.8888888888888888
45,WA,WA,WA,WA,WA,WA,WA,WA,WA,WA,WA,WA,WA,WA,WA,WA,WA,WA,WA,WA,WA,WA,WA,WA
46,78.45849802371542,80.63241106719367,78.26086956521739,84.58498023715416,76.08695652173913,59.88142292490119,0.1976284584980237,26.679841897233203,25.889328063241106,11.067193675889328,12.648221343873518,6.719367588932807,5.335968379446641,5.7312252964426875,6.126482213438735,capital-common-countries,12.055335968379447,16.99604743083004,7.707509881422925,11.462450592885375,15.019762845849803,8.300395256916996,12.25296442687747,17.193675889328063
47,74.96111975116641,76.20528771384137,67.34059097978228,76.36080870917574,57.54276827371695,29.548989113530325,0.0,20.314439387670667,11.097946287519747,12.996529116853067,14.886232163517162,3.0466640956421136,2.1596606247589665,4.859236405707675,3.432317778634786,capital-world,11.569610489780178,15.079059005013498,2.7767065175472427,2.81527188584651,4.473582722715002,3.316621673736984,9.641342074816814,8.291554184342461
48,48.51725814292659,29.849295089936803,34.564900340301406,29.995138551288285,34.66212931453573,24.06417112299465,0.044111160123511246,4.3670048522276135,17.29157476841641,6.087340097044552,5.513895015438906,2.1614468460520513,2.867225408028231,5.469783855315395,3.4847816497573887,city-in-state,4.852227613586237,6.6166740185266875,3.9258932509925013,2.11733568592854,3.2642258491398324,2.514336127040141,8.82223202470225,6.484340538156154
49,10.9375,14.84375,17.96875,20.3125,10.15625,4.6875,0.0,2.1186440677966103,15.298507462686567,0.591715976331361,0.0,0.2958579881656805,0.8875739644970414,0.0,0.2958579881656805,currency,0.0,0.2958579881656805,0.2958579881656805,0.8875739644970414,0.591715976331361,0.8875739644970414,2.0710059171597632,3.8461538461538463
50,50.87719298245614,45.32163742690059,54.09356725146199,52.92397660818713,46.198830409356724,41.52046783625731,11.19047619047619,17.142857142857142,83.33333333333333,4.0476190476190474,6.666666666666667,17.857142857142858,6.904761904761905,12.619047619047619,13.571428571428571,family,7.857142857142857,8.80952380952381,19.047619047619047,20.476190476190474,19.523809523809526,22.857142857142858,24.523809523809526,29.523809523809526
51,11.330049261083744,20.8128078817734,12.931034482758621,16.25615763546798,5.172413793103448,3.8177339901477834,0.5040322580645161,0.10080645161290322,11.954022988505747,3.4274193548387095,1.6129032258064515,1.5120967741935485,2.4193548387096775,4.334677419354839,4.435483870967742,gram1-adjective-to-adverb,3.125,3.225806451612903,2.1169354838709675,1.9153225806451613,2.5201612903225805,6.149193548387097,28.024193548387096,19.858870967741936
52,21.904761904761905,16.428571428571427,25.952380952380953,23.333333333333332,9.047619047619047,10.0,0.0,0.0,43.84057971014493,1.0869565217391304,1.8115942028985508,0.7246376811594203,1.4492753623188406,4.528985507246377,6.159420289855072,gram2-opposite,1.4492753623188406,0.5434782608695652,2.1739130434782608,1.9927536231884058,6.521739130434782,3.9855072463768115,13.94927536231884,9.420289855072463
53,28.67867867867868,20.12012012012012,31.08108108108108,26.276276276276278,20.945945945945947,17.64264264264264,0.0,0.6756756756756757,89.86486486486487,50.97597597597598,50.6006006006006,2.2522522522522523,4.129129129129129,20.645645645645647,24.24924924924925,gram3-comparative,56.45645645645646,46.92192192192192,6.156156156156156,5.7057057057057055,26.2012012012012,23.64864864864865,54.054054054054056,45.72072072072072
54,18.376068376068375,9.686609686609687,22.79202279202279,19.23076923076923,13.96011396011396,12.393162393162394,0.0,1.8518518518518519,70.22792022792022,45.8994708994709,44.576719576719576,1.7195767195767195,4.62962962962963,12.962962962962964,15.60846560846561,gram4-superlative,30.29100529100529,46.2962962962963,2.9100529100529102,4.894179894179894,16.005291005291006,12.566137566137566,54.89417989417989,33.86243386243386
55,26.108870967741936,21.975806451612904,19.254032258064516,21.572580645161292,12.903225806451612,9.879032258064516,0.0,15.43560606060606,61.79435483870968,62.68939393939394,49.90530303030303,4.261363636363637,4.924242424242424,24.526515151515152,30.303030303030305,gram5-present-participle,42.42424242424242,46.59090909090909,3.977272727272727,7.954545454545454,15.340909090909092,37.02651515151515,64.96212121212122,60.321969696969695
56,92.92487235594457,92.70605397520059,90.0802334062728,92.77899343544858,92.04959883296864,74.03355215171408,3.136396790663749,43.90955506929249,18.23486506199854,0.14587892049598833,0.36469730123997085,3.719912472647702,6.3457330415754925,9.044493070751276,5.835156819839534,gram6-nationality-adjective,0.29175784099197666,0.29175784099197666,6.0539752005835155,10.35740335521517,6.9292487235594455,5.981035740335521,22.975929978118163,23.194748358862146
57,31.08974358974359,23.525641025641026,29.807692307692307,25.512820512820515,13.205128205128204,8.717948717948717,2.8205128205128207,15.128205128205128,65.06410256410257,67.3076923076923,64.93589743589743,3.717948717948718,4.230769230769231,21.666666666666668,19.423076923076923,gram7-past-tense,61.85897435897436,58.205128205128204,4.230769230769231,6.153846153846154,17.115384615384617,17.94871794871795,69.35897435897436,61.02564102564103
58,32.25806451612903,35.685483870967744,30.443548387096776,31.149193548387096,12.80241935483871,8.46774193548387,5.294117647058823,47.81512605042017,60.84033613445378,78.15126050420169,76.05042016806723,2.689075630252101,4.7899159663865545,22.352941176470587,34.621848739495796,gram8-plural,79.07563025210084,81.5126050420168,5.966386554621849,6.890756302521009,28.235294117647058,36.38655462184874,59.57983193277311,58.57142857142857
59,24.261083743842363,24.63054187192118,21.92118226600985,24.38423645320197,17.48768472906404,14.408866995073891,0.24630541871921183,7.019704433497537,88.54679802955665,59.72906403940887,64.77832512315271,3.6945812807881775,4.310344827586207,28.448275862068964,32.758620689655174,gram9-plural-verbs,57.635467980295566,66.37931034482759,5.172413793103448,9.605911330049262,27.339901477832512,43.96551724137931,74.13793103448276,66.87192118226601
60,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL
61,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,capital-common-countries,506,506,506,506,506,506,506,506
62,4524,4524,4524,4524,4524,4524,4524,4524,4524,4524,4524,4524,4524,4524,4524,capital-world,4524,4524,4524,4524,4524,4524,4524,4524
63,2467,2467,2467,2467,2467,2467,2467,2467,2467,2467,2467,2467,2467,2467,2467,city-in-state,2467,2467,2467,2467,2467,2467,2467,2467
64,866,866,866,866,866,866,866,866,866,866,866,866,866,866,866,currency,866,866,866,866,866,866,866,866
65,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,family,506,506,506,506,506,506,506,506
66,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,gram1-adjective-to-adverb,992,992,992,992,992,992,992,992
67,812,812,812,812,812,812,812,812,812,812,812,812,812,812,812,gram2-opposite,812,812,812,812,812,812,812,812
68,1332,1332,1332,1332,1332,1332,1332,1332,1332,1332,1332,1332,1332,1332,1332,gram3-comparative,1332,1332,1332,1332,1332,1332,1332,1332
69,1122,1122,1122,1122,1122,1122,1122,1122,1122,1122,1122,1122,1122,1122,1122,gram4-superlative,1122,1122,1122,1122,1122,1122,1122,1122
70,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,gram5-present-participle,1056,1056,1056,1056,1056,1056,1056,1056
71,1599,1599,1599,1599,1599,1599,1599,1599,1599,1599,1599,1599,1599,1599,1599,gram6-nationality-adjective,1599,1599,1599,1599,1599,1599,1599,1599
72,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,gram7-past-tense,1560,1560,1560,1560,1560,1560,1560,1560
73,1332,1332,1332,1332,1332,1332,1332,1332,1332,1332,1332,1332,1332,1332,1332,gram8-plural,1332,1332,1332,1332,1332,1332,1332,1332
74,870,870,870,870,870,870,870,870,870,870,870,870,870,870,870,gram9-plural-verbs,870,870,870,870,870,870,870,870
75,FOUND,FOUND,FOUND,FOUND,FOUND,FOUND,FOUND,FOUND,FOUND,FOUND,FOUND,FOUND,FOUND,FOUND,FOUND,FOUND,FOUND,FOUND,FOUND,FOUND,FOUND,FOUND,FOUND,FOUND
76,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,capital-common-countries,506,506,506,506,506,506,506,506
77,1929,1929,1929,1929,1929,1929,2417,2417,2532,2593,2593,2593,2593,2593,2593,capital-world,2593,2593,2593,2593,2593,2593,2593,2593
78,2057,2057,2057,2057,2057,2057,2267,2267,2267,2267,2267,2267,2267,2267,2267,city-in-state,2267,2267,2267,2267,2267,2267,2267,2267
79,128,128,128,128,128,128,236,236,268,338,338,338,338,338,338,currency,338,338,338,338,338,338,338,338
80,342,342,342,342,342,342,420,420,420,420,420,420,420,420,420,family,420,420,420,420,420,420,420,420
81,812,812,812,812,812,812,992,992,870,992,992,992,992,992,992,gram1-adjective-to-adverb,992,992,992,992,992,992,992,992
82,420,420,420,420,420,420,552,552,552,552,552,552,552,552,552,gram2-opposite,552,552,552,552,552,552,552,552
83,1332,1332,1332,1332,1332,1332,1332,1332,1332,1332,1332,1332,1332,1332,1332,gram3-comparative,1332,1332,1332,1332,1332,1332,1332,1332
84,702,702,702,702,702,702,756,756,702,756,756,756,756,756,756,gram4-superlative,756,756,756,756,756,756,756,756
85,992,992,992,992,992,992,1056,1056,992,1056,1056,1056,1056,1056,1056,gram5-present-participle,1056,1056,1056,1056,1056,1056,1056,1056
86,1371,1371,1371,1371,1371,1371,1371,1371,1371,1371,1371,1371,1371,1371,1371,gram6-nationality-adjective,1371,1371,1371,1371,1371,1371,1371,1371
87,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,gram7-past-tense,1560,1560,1560,1560,1560,1560,1560,1560
88,992,992,992,992,992,992,1190,1190,1190,1190,1190,1190,1190,1190,1190,gram8-plural,1190,1190,1190,1190,1190,1190,1190,1190
89,812,812,812,812,812,812,812,812,812,812,812,812,812,812,812,gram9-plural-verbs,812,812,812,812,812,812,812,812
90,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT
91,397,408,396,428,385,303,1,135,131,56,64,34,27,29,31,capital-common-countries,61,86,39,58,76,42,62,87
92,1446,1470,1299,1473,1110,570,0,491,281,337,386,79,56,126,89,capital-world,300,391,72,73,116,86,250,215
93,998,614,711,617,713,495,1,99,392,138,125,49,65,124,79,city-in-state,110,150,89,48,74,57,200,147
94,14,19,23,26,13,6,0,5,41,2,0,1,3,0,1,currency,0,1,1,3,2,3,7,13
95,174,155,185,181,158,142,47,72,350,17,28,75,29,53,57,family,33,37,80,86,82,96,103,124
96,92,169,105,132,42,31,5,1,104,34,16,15,24,43,44,gram1-adjective-to-adverb,31,32,21,19,25,61,278,197
97,92,69,109,98,38,42,0,0,242,6,10,4,8,25,34,gram2-opposite,8,3,12,11,36,22,77,52
98,382,268,414,350,279,235,0,9,1197,679,674,30,55,275,323,gram3-comparative,752,625,82,76,349,315,720,609
99,129,68,160,135,98,87,0,14,493,347,337,13,35,98,118,gram4-superlative,229,350,22,37,121,95,415,256
100,259,218,191,214,128,98,0,163,613,662,527,45,52,259,320,gram5-present-participle,448,492,42,84,162,391,686,637
101,1274,1271,1235,1272,1262,1015,43,602,250,2,5,51,87,124,80,gram6-nationality-adjective,4,4,83,142,95,82,315,318
102,485,367,465,398,206,136,44,236,1015,1050,1013,58,66,338,303,gram7-past-tense,965,908,66,96,267,280,1082,952
103,320,354,302,309,127,84,63,569,724,930,905,32,57,266,412,gram8-plural,941,970,71,82,336,433,709,697
104,197,200,178,198,142,117,2,57,719,485,526,30,35,231,266,gram9-plural-verbs,468,539,42,78,222,357,602,543
